,,,,,,,,,,,,,,
, Total occurences , , , , , , ,   Number of files using the predicate , , , , , , 
,,,,,,,,,,,,,,
, , Orca ,  f4w  , dissect  , eye , cwm , all , ,  Orca ,  f4w  , dissect  , eye , cwm , all  
pred:numeric-greater-than-or-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:boolean-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:boolean-less-than , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:boolean-greater-than , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:compare , ,0,0,3,15,0,18,  ,0,0,2,2,0,4
func:substring , ,0,0,5,73,0,78,  ,0,0,2,2,0,4
func:upper-case , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:lower-case , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:substring-before , ,0,0,3,15,0,18,  ,0,0,2,2,0,4
func:substring-after , ,0,0,3,15,0,18,  ,0,0,2,2,0,4
pred:contains , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:starts-with , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:ends-with , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:matches , ,0,0,4,30,0,34,  ,0,0,2,2,0,4
func:year-from-dateTime , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:month-from-dateTime , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:day-from-dateTime , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:hours-from-dateTime , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:minutes-from-dateTime , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:seconds-from-dateTime , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:year-from-date , ,0,0,4,16,0,20,  ,0,0,2,2,0,4
func:month-from-date , ,0,0,4,16,0,20,  ,0,0,2,2,0,4
func:day-from-date , ,0,0,4,16,0,20,  ,0,0,2,2,0,4
func:hours-from-time , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:minutes-from-time , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:seconds-from-time , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:months-from-duration , ,0,0,3,22,0,25,  ,0,0,2,2,0,4
func:days-from-duration , ,0,0,3,22,0,25,  ,0,0,2,2,0,4
func:hours-from-duration , ,0,0,3,29,0,32,  ,0,0,2,2,0,4
func:minutes-from-duration , ,0,0,3,15,0,18,  ,0,0,2,2,0,4
func:seconds-from-duration , ,0,0,3,15,0,18,  ,0,0,2,2,0,4
func:timezone-from-dateTime , ,0,0,3,15,0,18,  ,0,0,2,2,0,4
func:timezone-from-date , ,0,0,4,30,0,34,  ,0,0,2,2,0,4
func:timezone-from-time , ,0,0,3,15,0,18,  ,0,0,2,2,0,4
pred:dateTime-equal , ,0,0,3,50,0,53,  ,0,0,2,2,0,4
pred:date-less-than , ,0,0,4,23,0,27,  ,0,0,2,2,0,4
pred:date-greater-than , ,0,0,4,23,0,27,  ,0,0,2,2,0,4
pred:time-equal , ,0,0,3,22,0,25,  ,0,0,2,2,0,4
pred:time-less-than , ,0,0,4,30,0,34,  ,0,0,2,2,0,4
pred:time-greater-than , ,0,0,4,16,0,20,  ,0,0,2,2,0,4
pred:duration-equal , ,0,0,3,29,0,32,  ,0,0,2,2,0,4
pred:dayTimeDuration-less-than , ,0,0,4,16,0,20,  ,0,0,2,2,0,4
pred:dayTimeDuration-greater-than , ,0,0,4,16,0,20,  ,0,0,2,2,0,4
pred:yearMonthDuration-less-than , ,0,0,4,16,0,20,  ,0,0,2,2,0,4
pred:yearMonthDuration-greater-than , ,0,0,4,16,0,20,  ,0,0,2,2,0,4
pred:dateTime-not-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:dateTime-less-than-or-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:dateTime-greater-than-or-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:date-not-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:date-less-than-or-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:date-greater-than-or-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:time-not-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:time-less-than-or-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:time-greater-than-or-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:duration-not-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:dayTimeDuration-less-than-or-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:dayTimeDuration-greater-than-or-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:yearMonthDuration-less-than-or-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:yearMonthDuration-greater-than-or-equal , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
func:PlainLiteral-from-string-lang , ,0,0,3,15,0,18,  ,0,0,2,2,0,4
func:string-from-PlainLiteral , ,0,0,3,15,0,18,  ,0,0,2,2,0,4
func:PlainLiteral-compare , ,0,0,3,15,0,18,  ,0,0,2,2,0,4
func:PlainLiteral-length , ,0,0,3,15,0,18,  ,0,0,2,2,0,4
pred:matches-language-range , ,0,0,3,15,0,18,  ,0,0,2,2,0,4
pred:is-list , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
pred:list-contains , ,0,0,3,8,0,11,  ,0,0,2,2,0,4
